Sentence,Sentiment,clean,stopped,lemma
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,fiskar is also engag in the global suppli of marin and energi equip solut and servic through it associ compani wartsila corpor,fiskar also engag global suppli marin energi equip solut servic associ compani wartsila corpor,fiskar also engag global suppli marin energi equip solut servic associ compani wartsila corpor
Aberdeen Asset Management Gains Foothold In China,positive,aberdeen asset manag gain foothold in china,aberdeen asset manag gain foothold china,aberdeen asset manag gain foothold china
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,finland s domin rail compani vr is plan to set the infect passeng for long distanc trip in a separ carriag,finland domin rail compani vr plan set infect passeng long distanc trip separ carriag,finland domin rail compani vr plan set infect passeng long distanc trip separ carriag
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,in novemb the finnish govern decreas it ownership in the compani further to percent from percent,novemb finnish govern decreas ownership compani percent percent,novemb finnish govern decreas ownership compani percent percent
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,finnish exel composit a technolog compani that design manufactur and market composit profil and tube for variou industri applic report it net sale decreas by in the second quarter of to mn from mn in the correspond period in,finnish exel composit technolog compani design manufactur market composit profil tube variou industri applic report net sale decreas second quarter mn mn correspond period,finnish exel composit technolog compani design manufactur market composit profil tube variou industri applic report net sale decreas second quarter million million correspond period
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,of bavelloni s and nst s joint ventur bavelloni tool complet semiproduct that are produc in itali into high qualiti tool that will be sold under the diapol brand,bavelloni nst joint ventur bavelloni tool complet semiproduct produc itali high qualiti tool sold diapol brand,bavelloni nst joint ventur bavelloni tool complet semiproduct produc itali high qualiti tool sold diapol brand
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,the tool is a patent pend design that allow consum to lay out their entir project on a remov plate use multipl clear stamp of ani kind,tool patent pend design allow consum lay entir project remov plate use multipl clear stamp ani kind,tool patent pend design allow consum lay entir project remov plate use multipl clear stamp ani kind
$GOOGL is a short below 740 into the upper BB and is overbought,negative,googl is a short below into the upper bb and is overbought,googl short upper bb overbought,googl short upper bb overbought
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,light out befor curfew curl up with the latest bestsel and treat your eye to the perfect read light from luceplan,light befor curfew curl up latest bestsel treat eye perfect read light luceplan,light befor curfew curl up latest bestsel treat eye perfect read light luceplan
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,upm kymmen corp the world s largest maker of magazin paper on tuesday report a percent profit drop as lower paper price higher cost and a strong hurt revenu,upm kymmen corp world largest maker magazin paper tuesday report percent profit drop lower paper price higher cost strong hurt revenu,upm kymmen corp world largest maker magazin paper tuesday report percent profit drop lower paper price higher cost strong hurt revenu
The total value of the contract is some EUR 8 million .,neutral,the total valu of the contract is some,total valu contract,total valu contract
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,the prerequisit for inclus in the program and for receipt of ani gain is that key employe acquir aspo share to the amount determin by the board in advanc in the maximum,prerequisit inclus program receipt ani gain key employe acquir aspo share amount determin board advanc maximum,prerequisit inclus program receipt ani gain key employe acquir aspo share amount determin board advanc maximum
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,mr dore ha been with eaton sinc and act as the busi unit manag for eaton s power control busi unit sinc januari,mr dore ha eaton sinc act busi unit manag eaton power control busi unit sinc januari,mr dore ha eaton sinc act busi unit manag eaton power control busi unit sinc januari
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,the sq m sq ft store in copenhagen s premier shop district wa inaugur today further strengthen the compani s presenc in nordic capit,sq sq ft store copenhagen premier shop district wa inaugur today strengthen compani presenc nordic capit,sq sq ft store copenhagen premier shop district wa inaugur today strengthen compani presenc nordic capit
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,in the financi statement for the first quarter of tikkurila is report under discontinu oper,financi statement first quarter tikkurila report discontinu oper,financi statement first quarter tikkurila report discontinu oper
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,the world s second largest stainless steel maker said net profit in the three month period until dec surg to us or us per share from or per share the previou year,world second largest stainless steel maker said net profit three month period dec surg us us per share per share previou year,world second largest stainless steel maker said net profit three month period dec surg america america per share per share previou year
